,ASTM, American W Shapes to ASTM A6/A36,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
1,,,per,of,of,Web,Flange,Radius,between,Local Buckling,,of Area,,of Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
2,,Designation,metre,Section,Section,,,,fillets,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,,,Section
3,,, ,h,b,s,t,r,d,b/2t,d/s,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,u,x,H,J,A
4,Home,in x in x lb/ft,kg/m,mm,mm,mm,mm,mm,mm, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
11,7,W40x12x183,272.3,990.1,300,16.5,31,30,868.1,4.84,52.6,554000,14000,40,6.35,11190,934,12830,1470,0.873,35,32.2,835,347
12,8,W40x12x167,248.7,980.2,300,16.5,26,30,868.2,5.77,52.6,481300,11750,39,6.09,9821,784,11350,1245,0.861,39.9,26.8,582,317
13,9,W40x12x149,222,970.3,300,16,21.1,30,868.1,7.11,54.3,408000,9546,38,5.81,8409,636,9807,1020,0.85,45.7,21.5,390,283
14,10,W36x161/2x359,533.9,950,425,28.4,51.1,24.1,799.6,4.16,28.2,1031300,65560,38.9,9.82,21710,3085,24830,4796,0.887,19.7,132,4516,680
15,11,W36x161/2x328,487.7,942,422,25.9,47,24.1,799.8,4.49,30.9,935500,59010,38.8,9.75,19860,2797,22620,4336,0.887,21.3,118,3499,621
16,12,W36x161/2x300,447.2,933.2,423,24,42.7,24.1,799.6,4.95,33.3,847300,53980,38.6,9.73,18160,2552,20610,3951,0.887,23.3,107,2675,570
17,13,W36x161/2x280,417.7,927.6,421.5,22.5,39.9,24.1,799.6,5.28,35.5,786100,49890,38.4,9.68,16950,2367,19180,3660,0.887,24.8,98.3,2191,532
18,14,W36x161/2x260,387.2,921,420.4,21.3,36.6,24.1,799.6,5.74,37.5,719000,45410,38.2,9.59,15610,2160,17640,3338,0.885,26.7,88.8,1729,493
19,15,W36x161/2x245,364.9,916.4,419.4,20.3,34.3,24.1,799.6,6.11,39.4,671800,42240,38,9.53,14660,2015,16550,3112,0.884,28.3,82.2,1442,465
20,16,W36x161/2x230,342.5,911.9,418.3,19.3,32,24.1,799.7,6.54,41.4,625200,39100,37.9,9.47,13710,1869,15460,2886,0.883,30.2,75.7,1189,436
21,17,W36x12x387,575.6,992.9,321.8,36.1,65,20,822.9,2.48,22.8,1101500,36460,38.8,7.05,22190,2266,26280,3654,0.871,16.8,78.5,7150,733
22,18,W36x12x350,521,980.7,318.8,33,58.9,20,822.9,2.71,24.9,981800,32080,38.5,6.95,20020,2013,23600,3235,0.871,18.4,68.1,5355,664
23,19,W36x12x318,473.3,970.8,315.7,29.9,54.1,20,822.6,2.92,27.5,884600,28580,38.3,6.88,18220,1810,21370,2895,0.872,19.9,60,4106,603
24,20,W36x12x286,425.5,960.9,312.8,26.9,49,20,822.9,3.19,30.6,788200,25150,38.1,6.81,16410,1608,19130,2559,0.873,21.8,52.3,3039,542
25,21,W36x12x256,381.8,950.7,310.3,24.4,43.9,20,822.9,3.53,33.7,697400,21970,37.9,6.72,14670,1416,17040,2248,0.872,24.1,45.2,2208,486
26,22,W36x12x232,345.2,942.9,307.8,22.1,39.9,20,823.1,3.86,37.2,625700,19480,37.7,6.66,13270,1266,15350,2001,0.872,26.3,39.7,1656,440
27,23,W36x12x210,313.2,931.9,309.4,21.1,34.5,20,822.9,4.48,39,549300,17110,37.1,6.55,11790,1106,13650,1753,0.866,29.7,34.4,1169,399
28,24,W36x12x194,288.7,926.8,307.7,19.4,32,20,822.8,4.81,42.4,504400,15600,37,6.51,10890,1014,12570,1601,0.867,31.9,31.2,928,368
29,25,W36x12x182,271.8,922.8,306.7,18.4,30,20,822.8,5.11,44.7,471600,14480,36.9,6.47,10220,944,11790,1489,0.866,33.8,28.8,774,346
30,26,W36x12x170,253.7,918.7,305.6,17.3,27.9,20,822.9,5.48,47.6,437300,13310,36.8,6.42,9520,871,10960,1372,0.866,36.1,26.4,630,323
31,27,W36x12x160,238.4,914.7,304.8,16.5,25.9,20,822.9,5.88,49.9,406500,12260,36.6,6.35,8888,805,10230,1266,0.864,38.5,24.2,518,304
32,28,W36x12x150,224.5,910.6,304.2,15.9,23.9,20,822.8,6.36,51.7,377200,11250,36.3,6.27,8286,739,9552,1165,0.861,41.1,22.1,426,286
33,29,W36x12x135,201.4,903,303.5,15.2,20.1,20,822.8,7.55,54.1,325400,9396,35.6,6.05,7208,619,8361,980,0.853,46.7,18.3,294,257
34,30,W33x153/4x468,697.6,935,418,38.6,69.1,20,756.8,3.02,19.6,1253200,84510,37.6,9.75,26810,4044,31270,6342,0.886,14.2,158,10570,889
