,UB,Universal Beams to BS4 Part1 1993 - Dimensions & Properties,wt,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
1,,,per,of,of,Web,Flange,Radius,between,Local Buckling,,of Area,,of Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
2,,Designation,metre,Section,Section,,,,fillets,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,,,Section
3,,, ,h,b,s,t,r,d,b/2t,d/s,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,u,x,H,J,A
4,Home,section,kg/m,mm,mm,mm,mm,mm,mm, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
11,7,838x292x226,226.5,850.9,293.8,16.1,26.8,17.8,761.7,5.48,47.3,339700,11360,34.3,6.27,7985,773,9155,1212,0.87,35,19.3,514,289
12,8,838x292x194,193.8,840.7,292.4,14.7,21.7,17.8,761.7,6.74,51.8,279200,9066,33.6,6.06,6641,620,7640,974,0.862,41.6,15.2,306,247
13,9,838x292x176,175.9,834.9,291.7,14,18.8,17.8,761.7,7.76,54.4,246000,7799,33.1,5.9,5893,535,6808,842,0.856,46.5,13,221,224
14,10,762x267x197,196.8,769.8,268,15.6,25.4,16.5,686,5.28,44,240000,8175,30.9,5.71,6234,610,7167,959,0.869,33.2,11.3,404,251
15,11,762x267x173,173,762.2,266.7,14.3,21.6,16.5,686,6.17,48,205300,6850,30.5,5.58,5387,514,6198,807,0.864,38.1,9.39,267,220
16,12,762x267x147,146.9,754,265.2,12.8,17.5,16.5,686,7.58,53.6,168500,5455,30,5.4,4470,411,5156,647,0.858,45.2,7.4,159,187
17,13,762x267x134,133.9,750,264.4,12,15.5,16.5,686,8.53,57.2,150700,4788,29.7,5.3,4018,362,4644,570,0.854,49.8,6.46,119,171
18,14,686x254x170,170.2,692.9,255.8,14.5,23.7,15.2,615.1,5.4,42.4,170300,6630,28,5.53,4916,518,5631,811,0.872,31.8,7.42,308,217
19,15,686x254x152,152.4,687.5,254.5,13.2,21,15.2,615.1,6.06,46.6,150400,5784,27.8,5.46,4374,455,5000,710,0.871,35.5,6.42,220,194
20,16,686x254x140,140.1,683.5,253.7,12.4,19,15.2,615.1,6.68,49.6,136300,5183,27.6,5.39,3987,409,4558,638,0.868,38.7,5.72,169,178
