,SHS HF OS,Hot finished Square Hollow Sections to EN 10210,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Overseas Edition,Unnamed: 13,Unnamed: 14
0,,Designation,,Mass,Area,Ratios for,,Second,Radius of,Elastic,Plastic,Torsional,,Surface,Approx
1,,Size,Thickness,per,of,Local Buckling,,Moment,Gyration,Modulus,Modulus,Constants,,Area of,Length
2,,D x B,t,metre,Section,Flange,Web,of Area I,r,Z,S,J,C,Section,per Tonne
3,,,,,A,,,,,,,,,,
4,Home,mm x mm,mm,kg/m,cm2,b/t,d/t,cm4,cm,cm3,cm3,cm4,cm3,m2/m,m
23,19,60x60,5,8.42,10.7,9,9,53.3,2.23,17.8,21.9,86.4,25.7,0.227,119
24,20,60x60,6,9.87,12.6,7,7,59.9,2.18,20,25.1,98.6,28.8,0.225,101
25,21,60x60,6.3,10.3,13.1,6.52,6.52,61.6,2.17,20.5,26,102,29.6,0.224,97.2
26,22,60x60,8,12.5,16,4.5,4.5,69.7,2.09,23.2,30.4,118,33.4,0.219,79.9
27,23,70x70,3,6.24,7.94,20.3,20.3,59,2.73,16.9,19.9,92.2,24.8,0.272,160
28,24,70x70,3.2,6.63,8.44,18.9,18.9,62.3,2.72,17.8,21,97.6,26.1,0.272,151
29,25,70x70,3.6,7.4,9.42,16.4,16.4,68.6,2.7,19.6,23.3,108,28.7,0.271,135
30,26,70x70,4,8.15,10.4,14.5,14.5,74.7,2.68,21.3,25.5,118,31.2,0.27,123
31,27,70x70,4.9,9.81,12.5,11.3,11.3,87.2,2.64,24.9,30.3,140,36.2,0.267,102
32,28,70x70,5,9.99,12.7,11,11,88.5,2.64,25.3,30.8,142,36.8,0.267,100
33,29,70x70,6,11.8,15,8.67,8.67,101,2.59,28.7,35.5,163,41.6,0.265,85.1
34,30,70x70,6.3,12.3,15.6,8.11,8.11,104,2.58,29.7,36.9,169,42.9,0.264,81.5
35,31,70x70,7.1,13.6,17.3,6.86,6.86,112,2.54,32,40.3,185,46.1,0.262,73.5
36,32,70x70,8,15,19.2,5.75,5.75,120,2.5,34.2,43.8,200,49.2,0.259,66.5
37,33,76.2,3.2,7.25,9.23,20.8,20.8,81.5,2.97,21.4,25.2,127,31.4,0.297,138
38,34,76.2,3.6,8.1,10.3,18.2,18.2,89.9,2.95,23.6,27.9,141,34.6,0.296,123
39,35,76.2,4,8.93,11.4,16.1,16.1,98,2.93,25.7,30.6,154,37.6,0.294,112
40,36,76.2,4.9,10.8,13.7,12.6,12.6,115,2.89,30.2,36.4,183,43.9,0.292,92.9
41,37,76.2,5,11,14,12.2,12.2,117,2.89,30.6,37,186,44.6,0.292,91.2
42,38,76.2,6,12.9,16.5,9.7,9.7,133,2.85,35,42.9,215,50.7,0.289,77.4
43,39,76.2,6.3,13.5,17.2,9.1,9.1,138,2.83,36.2,44.6,223,52.4,0.289,74.1
44,40,76.2,7.1,15,19.1,7.73,7.73,149,2.8,39.1,48.8,244,56.6,0.287,66.8
45,41,76.2,8,16.6,21.1,6.53,6.53,160,2.75,42.1,53.2,265,60.7,0.284,60.3
46,42,80x80,3.2,7.63,9.72,22,22,95,3.13,23.7,27.9,148,34.9,0.312,131
47,43,80x80,3.6,8.53,10.9,19.2,19.2,105,3.11,26.2,31,164,38.5,0.311,117
48,44,80x80,4,9.41,12,17,17,114,3.09,28.6,34,180,41.9,0.31,106
49,45,80x80,4.9,11.4,14.5,13.3,13.3,135,3.05,33.6,40.4,214,49,0.307,88.1
50,46,80x80,5,11.6,14.7,13,13,137,3.05,34.2,41.1,217,49.8,0.307,86.5
51,47,80x80,5.6,12.8,16.3,11.3,11.3,149,3.02,37.2,45.2,238,54.1,0.306,78
52,48,80x80,6,13.6,17.4,10.3,10.3,156,3,39.1,47.8,252,56.8,0.305,73.3
53,49,80x80,6.3,14.2,18.1,9.7,9.7,162,2.99,40.5,49.7,262,58.7,0.304,70.2
54,50,80x80,7.1,15.8,20.2,8.27,8.27,176,2.95,43.9,54.5,286,63.5,0.302,63.2
55,51,80x80,8,17.5,22.4,7,7,189,2.91,47.3,59.5,312,68.3,0.299,57
56,52,90x90,3.6,9.66,12.3,22,22,152,3.52,33.8,39.7,237,49.7,0.351,104
57,53,90x90,4,10.7,13.6,19.5,19.5,166,3.5,37,43.6,260,54.2,0.35,93.7
58,54,90x90,4.9,12.9,16.4,15.4,15.4,196,3.46,43.6,52.1,310,63.8,0.347,77.6
59,55,90x90,5,13.1,16.7,15,15,200,3.45,44.4,53,316,64.8,0.347,76.1
60,56,90x90,5.6,14.6,18.6,13.1,13.1,218,3.43,48.5,58.3,347,70.7,0.346,68.6
61,57,90x90,6,15.5,19.8,12,12,230,3.41,51.1,61.8,367,74.3,0.345,64.4
62,58,90x90,6.3,16.2,20.7,11.3,11.3,238,3.4,53,64.3,382,77,0.344,61.6
63,59,90x90,7.1,18.1,23,9.68,9.68,260,3.36,57.7,70.8,419,83.7,0.342,55.4
64,60,90x90,8,20.1,25.6,8.25,8.25,281,3.32,62.6,77.6,459,90.5,0.339,49.9
65,61,100x100,3.6,10.8,13.7,24.8,24.8,212,3.92,42.3,49.5,328,62.3,0.391,92.7
66,62,100x100,4,11.9,15.2,22,22,232,3.91,46.4,54.4,361,68.2,0.39,83.9
67,63,100x100,4.9,14.4,18.4,17.4,17.4,275,3.87,55,65.2,432,80.5,0.387,69.3
68,64,100x100,5,14.7,18.7,17,17,279,3.86,55.9,66.4,439,81.8,0.387,68
69,65,100x100,5.6,16.3,20.8,14.9,14.9,306,3.84,61.2,73.2,484,89.5,0.386,61.2
70,66,100x100,6,17.4,22.2,13.7,13.7,323,3.82,64.6,77.6,513,94.3,0.385,57.5
71,67,100x100,6.3,18.2,23.2,12.9,12.9,336,3.8,67.1,80.9,534,97.8,0.384,54.9
72,68,100x100,7.1,20.3,25.8,11.1,11.1,367,3.77,73.4,89.2,589,107,0.382,49.3
73,69,100x100,8,22.6,28.8,9.5,9.5,400,3.73,79.9,98.2,646,116,0.379,44.3
74,70,100x100,10,27.4,34.9,7,7,462,3.64,92.4,116,761,133,0.374,36.5
75,71,120x120,4,14.4,18.4,27,27,410,4.72,68.4,79.7,635,101,0.47,69.3
76,72,120x120,4.9,17.5,22.3,21.5,21.5,489,4.68,81.5,95.8,763,120,0.467,57.1
77,73,120x120,5,17.8,22.7,21,21,498,4.68,83,97.6,777,122,0.467,56
78,74,120x120,5.6,19.9,25.3,18.4,18.4,547,4.65,91.2,108,858,134,0.466,50.4
79,75,120x120,6,21.2,27,17,17,579,4.63,96.6,115,911,141,0.465,47.2
80,76,120x120,6.3,22.2,28.2,16,16,603,4.62,100,120,950,147,0.464,45.1
81,77,120x120,7.1,24.7,31.5,13.9,13.9,663,4.59,110,133,1051,161,0.462,40.4
82,78,120x120,8,27.6,35.2,12,12,726,4.55,121,146,1160,176,0.459,36.2
83,79,120x120,8.8,30.1,38.3,10.6,10.6,779,4.51,130,158,1252,189,0.457,33.3
84,80,120x120,10,33.7,42.9,9,9,852,4.46,142,175,1382,206,0.454,29.7
85,81,120x120,12,39.5,50.3,7,7,958,4.36,160,201,1578,230,0.449,25.3
86,82,120x120,12.5,40.9,52.1,6.6,6.6,982,4.34,164,207,1623,236,0.448,24.5
87,83,140x140,4.9,20.6,26.2,25.6,25.6,793,5.5,113,132,1230,167,0.547,48.6
88,84,140x140,5,21,26.7,25,25,807,5.5,115,135,1253,170,0.547,47.7
89,85,140x140,5.6,23.4,29.8,22,22,891,5.47,127,149,1387,187,0.546,42.8
90,86,140x140,6,24.9,31.8,20.3,20.3,944,5.45,135,159,1475,198,0.545,40.1
91,87,140x140,6.3,26.1,33.3,19.2,19.2,984,5.44,141,166,1540,206,0.544,38.3
92,88,140x140,7.1,29.2,37.2,16.7,16.7,1086,5.4,155,184,1709,227,0.542,34.2
93,89,140x140,8,32.6,41.6,14.5,14.5,1195,5.36,171,204,1892,249,0.539,30.7
94,90,140x140,8.8,35.6,45.4,12.9,12.9,1287,5.33,184,221,2048,268,0.537,28.1
95,91,140x140,10,40,50.9,11,11,1416,5.27,202,246,2272,294,0.534,25
96,92,140x140,12,47,59.9,8.67,8.67,1609,5.18,230,284,2616,333,0.529,21.3
97,93,140x140,12.5,48.7,62.1,8.2,8.2,1653,5.16,236,293,2696,342,0.528,20.5
98,94,150x150,4.9,22.1,28.2,27.6,27.6,984,5.91,131,153,1522,193,0.587,45.2
99,95,150x150,5,22.6,28.7,27,27,1002,5.9,134,156,1550,197,0.587,44.3
100,96,150x150,5.6,25.1,32,23.8,23.8,1106,5.88,147,173,1718,217,0.586,39.8
101,97,150x150,6,26.8,34.2,22,22,1174,5.86,156,184,1828,230,0.585,37.3
102,98,150x150,6.3,28.1,35.8,20.8,20.8,1223,5.85,163,192,1909,240,0.584,35.6
103,99,150x150,7.1,31.4,40,18.1,18.1,1352,5.81,180,213,2121,264,0.582,31.8
104,100,150x150,8,35.1,44.8,15.8,15.8,1491,5.77,199,237,2351,291,0.579,28.5
105,101,150x150,8.8,38.4,48.9,14,14,1608,5.74,214,257,2549,313,0.577,26.1
106,102,150x150,10,43.1,54.9,12,12,1773,5.68,236,286,2832,344,0.574,23.2
107,103,150x150,12,50.8,64.7,9.5,9.5,2023,5.59,270,331,3272,391,0.569,19.7
108,104,150x150,12.5,52.7,67.1,9,9,2080,5.57,277,342,3375,402,0.568,19
109,105,150x150++,16,65.2,83,6.38,6.38,2430,5.41,324,411,4026,467,0.559,15.3
110,106,160x160,5,24.1,30.7,29,29,1225,6.31,153,178,1892,226,0.627,41.5
111,107,160x160,5.6,26.9,34.2,25.6,25.6,1353,6.29,169,198,2098,249,0.626,37.2
112,108,160x160,6,28.7,36.6,23.7,23.7,1437,6.27,180,210,2233,264,0.625,34.8
113,109,160x160,6.3,30.1,38.3,22.4,22.4,1499,6.26,187,220,2333,275,0.624,33.3
114,110,160x160,7.1,33.7,42.9,19.5,19.5,1659,6.22,207,245,2595,304,0.622,29.7
115,111,160x160,8,37.6,48,17,17,1831,6.18,229,272,2880,335,0.619,26.6
116,112,160x160,8.8,41.1,52.4,15.2,15.2,1978,6.14,247,295,3125,361,0.617,24.3
117,113,160x160,10,46.3,58.9,13,13,2186,6.09,273,329,3478,398,0.614,21.6
118,114,160x160,12,54.6,69.5,10.3,10.3,2502,6,313,382,4028,454,0.609,18.3
119,115,160x160,12.5,56.6,72.1,9.8,9.8,2576,5.98,322,395,4158,467,0.608,17.7
120,116,160x160,14.2,63.3,80.7,8.27,8.27,2809,5.9,351,436,4579,508,0.603,15.8
121,117,160x160,16,70.2,89.4,7,7,3028,5.82,379,476,4988,546,0.599,14.2
122,118,180x180,5,27.3,34.7,33,33,1765,7.13,196,227,2718,290,0.707,36.7
123,119,180x180,5.6,30.4,38.7,29.1,29.1,1954,7.1,217,252,3018,320,0.706,32.9
124,120,180x180,6,32.5,41.4,27,27,2077,7.09,231,269,3215,340,0.705,30.8
125,121,180x180,6.3,34,43.3,25.6,25.6,2168,7.07,241,281,3361,355,0.704,29.4
126,122,180x180,7.1,38.1,48.6,22.4,22.4,2404,7.04,267,314,3744,393,0.702,26.2
127,123,180x180,8,42.7,54.4,19.5,19.5,2661,7,296,349,4162,434,0.699,23.4
128,124,180x180,8.8,46.7,59.4,17.5,17.5,2880,6.96,320,379,4524,469,0.697,21.4
129,125,180x180,10,52.5,66.9,15,15,3193,6.91,355,424,5048,518,0.694,19
130,126,180x180,12,62.1,79.1,12,12,3677,6.82,409,494,5873,595,0.689,16.1
131,127,180x180,12.5,64.4,82.1,11.4,11.4,3790,6.8,421,511,6070,613,0.688,15.5
