,SHS CF,Cold formed Square Hollow Sections in accordance with EN 10210 and Strongbox 2000,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,UK Edition,Unnamed: 11
0,,Designation,,Mass,Area,Second,Radius,Elastic,Plastic,Torsional,,Surface
1,,Size,Thickness,per,of,Moment,of,Modulus,Modulus,Constants,,Area
2,,D x B,t,metre,Section,of Area,Gyration,,,,,of
3,,,,,A,I,r,Z,S,J,C,Section
4,Home,mm x mm,mm,kg/m,cm2,cm4,cm,cm3,cm3,cm4,cm3,m2/m
63,59,200 x 200,6.3,37.2,47.4,2922,7.85,292,341,4682,444,0.773
64,60,200 x 200,8,46.5,59.2,3566,7.76,357,421,5815,544,0.766
65,61,200 x 200,10,57,72.6,4251,7.65,425,508,7072,651,0.757
66,62,200 x 200,12.5,68.3,87,4859,7.47,486,594,8502,765,0.736
67,63,250 x 250,6,45.2,57.6,5672,9.92,454,524,8843,681,0.979
68,64,250 x 250,6.3,47.1,60,5873,9.89,470,544,9290,711,0.973
69,65,250 x 250,8,59.1,75.2,7229,9.8,578,676,11598,878,0.966
70,66,250 x 250,10,72.7,92.6,8707,9.7,697,822,14197,1062,0.957
71,67,250 x 250,12.5,88,112,10161,9.52,813,975,17283,1266,0.936
72,68,300 x 300,8,71.6,91.2,12801,11.8,853,991,20312,1293,1.17
73,69,300 x 300,10,88.4,113,15519,11.7,1035,1211,24966,1572,1.16
74,70,300 x 300,12.5,108,137,18348,11.6,1223,1451,30601,1892,1.14
