id,sec,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area,Shape
293,ISST250,37.48375,250,180,14.1,9.2,,,,,2774.3999023,532,230,211.5,149.1612858,59.1111111,149.1999969,59.0999985,,,,229.4240952,47.75,tee
292,ISMB250,37.326749215,250,125,12.5,6.9,,,,,5131.600098,334.5,172.5,260.41666,410.5280078,53.52,410.5,53.5,,,,187.3985863,47.549999,I
291,ISHB200-1,37.318900785,200,200,9,6.1,,,,,3608.399902,967.0999756,122,300,360.8399902,96.7099976,360.7999878,96.6999969,,,,110.9701824,47.540001,I
290,ISA200X200X12,36.588850785,200,200,12,12,,,,,1788.9000244,1788.9000244,240,240,122.1926257,122.1926257,122.1999969,122.1999969,,,,223.4880066,46.610001,angle
289,ISMC300,35.827399215,300,90,13.6,7.6,,,,,6362.600098,310.79998779,227.99999,244.8,424.1733398,46.8072263,424.2000122,46.7999992,,,,190.8449173,45.639999,channel
288,ISNB225H,34.697000785,244.5,0,0,5.9,,,,,3149,3149,229.53268,229.53268,257.586904,257.586904,258,258,,,,62980,44.200001,pipe
287,ISHB150-3,34.60280157,150,150,9,11.8,,,,,1635.5999756,494.8999939,177.00001,225,218.0799967,65.9866659,218.1000061,63.2000008,,,,145.1934052,44.080002,I
286,ISWB225,33.94340157,225,150,9.9,6.4,,,,,3920.5,448.6000061,144,247.5,348.4888889,59.8133341,348.5,59.7999992,,,,114.9605465,43.240002,I
284,ISA150X150X15,33.582299215,150,150,15,15,,,,,896.7999878,896.7999878,225,225,83.5009317,83.5009317,83.5,83.5,,,,320.625,42.779999,angle
285,ISA200X100X15,33.582299215,200,100,15,15,,,,,1750.5,298.1000061,300,150,98.4533185,41.5181077,136.5,38.2999992,,,,320.625,42.779999,angle
283,ISLC300,33.056350785,300,100,11.6,6.7,,,,,6047.899902,346,201,232.00001,403.1933268,46.4429527,403.2000122,46.4000015,,,,131.8101311,42.110001,channel
282,ISLB275,32.9857,275,140,8.8,6.4,,,,,5375.299805,287,176,205.33333,390.9308949,41,392.3999939,41,,,,86.0960102,42.02,I
281,ISA200X150X12,31.839600785,200,150,12,12,,,,,1634.9000244,793.2000122,240,180,99.6890253,88.9237674,117.4000015,69.5999985,,,,194.6879959,40.560001,angle
280,ISMB225,31.180200785,225,110,11.8,6.5,,,,,3441.800049,218.30000305,146.25,216.33333,305.9377821,39.6909096,305.8999939,39.7000008,,,,138.9255047,39.720001,I
279,ISNB200H,31.0075,219.1,0,0,5.9,,,,,2247,2247,206.00935,206.00935,205.1118225,205.1118225,205,205,,,,44940,39.5,pipe
278,ISHB150-2,30.5993,150,150,9,8.4,,,,,1540,480.2999878,126,225,205.3333333,64.0399984,205.3000031,60.2000008,,,,98.9789772,38.98,I
277,ISMC250,30.35594843,350,80,14.1,7.1,,,,,3816.800049,219.1000061,248.5,225.59999,218.1028599,38.4385972,305.2999878,38.4000015,,,,187.8970337,38.669998,channel
276,ISA150X115X15,29.4532,150,115,15,15,,,,,823.5,418.6000061,225,172.5,68.7395658,62.1068279,80.4000015,49.4000015,,,,281.25,37.52,angle
275,ISNB200M,29.4375,219.1,0,0,5.6,,,,,2141,2141,195.16773,195.16773,195.4358754,195.4358754,195,195,,,,42820,37.5,pipe
274,ISHT150,29.37469843,150,250,10.6,7.6,,,,,573.7000122,1096.8000488,114,220.83334,46.4910872,87.7440039,46.5,87.6999969,,,,119.649086,37.419998,tee
273,ISA130X130X15,28.895850785,130,130,15,15,,,,,574.5999756,574.5999756,195,195,62.3210384,62.3210384,62.2999992,62.2999992,,,,275.625,36.810001,angle
272,ISWB200,28.817349215,200,140,9,6.1,,,,,2624.5,328.7999878,122,210,262.45,46.9714268,262.5,47,,,,81.8101788,36.709999,I
271,ISST200,28.432700785,200,165,12.5,8,,,,,1267.8000488,358.2000122,160,171.875,83.2982961,43.4181833,83.3000031,43.4000015,,,,139.4218731,36.220001,tee
270,ISLC250,27.98525157,250,100,10.7,6.1,,,,,3687.899902,298.3999939,152.5,214,295.0319922,40.8767118,295,40.9000015,,,,98.9654827,35.650002,channel
269,ISLB250,27.891049215,250,125,8.2,6.1,,,,,3717.800049,193.3999939,152.5,170.83334,297.4240039,30.943999,297.3999939,30.8999996,,,,63.6215878,35.529999,I
268,ISHT125,27.35724843,125,250,9.7,8.8,,,,,415.3999939,1005.7999878,110,202.08334,41.0069091,80.463999,41,79.9000015,,,,102.247324,34.849998,tee
267,ISNB175H,27.317999215,193.7,0,0,5.9,,,,,1535.1999512,1535.1999512,182.47992,182.47992,158.5131528,158.5131528,158.6499939,158.6499939,,,,30703.999023,34.799999,pipe
265,ISA150X150X12,27.15315,150,150,12,12,,,,,735.4000244,735.4000244,180,180,67.7163918,67.7163918,67.6999969,67.6999969,,,,165.8880043,34.59,angle
266,ISA200X100X12,27.15315,200,100,12,12,,,,,1431.6999512,246.19999695,240,120,79.9832371,34.9219844,110.5999985,31.1000004,,,,165.8880043,34.59,angle
264,ISHB150-1,27.0668,150,150,9,5.4,,,,,1455.5999756,431.7000122,81,225,194.0799967,57.5600016,194.1000061,57.5999985,,,,79.8284149,34.48,I
263,ISA200X150X10,26.69,200,150,10,10,,,,,1377.9000244,669.5999756,200,150,83.5597346,74.3174205,98.3000031,58.2999992,,,,113.3333302,34,angle
