id,section,wt,h,b,s(tw),t(tf),r1,r2,b/2t,d/s,ix,iy,rx,ry,zx,zy,sx,sy,u,x,H,J,area
50,66.0x33.0x4.5,5.95,66.0,33.0,4.5,4.5,,,3.66666666666667,14.6666666666667,36.64,11.93,2.20,1.25,14.77,8.94,11.10,7.23,,,,,7.58
51,63.5 x 63.5 x 3.2,5.85,63.5,63.5,3.2,3.2,,,9.921875,19.84375,44.35,44.35,2.44,2.44,16.65,16.65,13.97,13.97,,,,,7.45
52,80.0x40.0x3.2,5.50,80.0,40.0,3.2,3.2,,,6.25,25,54.94,18.41,2.80,1.62,17.46,10.72,13.74,9.21,,,,,7.01
53,70.0x30.0x4.0,5.45,70.0,30.0,4.0,4.0,,,3.75,17.5,37.23,9.42,2.31,1.16,14.20,7.66,10.64,6.28,,,,,6.95
54,45.0 x 45.0 x 4.5,5.31,45.0,45.0,4.5,4.5,,,5,10,17.74,17.74,1.62,1.62,9.99,9.99,7.88,7.88,,,,,6.77
55,80.0x40.0x2.9,5.03,80.0,40.0,2.9,2.9,,,6.89655172413793,27.5862068965517,50.87,17.11,2.82,1.63,16.07,9.88,12.72,8.56,,,,,6.41
56,49.5 x 49.5 x 3.6,4.93,49.5,49.5,3.6,3.6,,,6.875,13.75,21.42,21.42,1.85,1.85,10.60,10.60,8.66,8.66,,,,,6.28
57,66.0x33.0x3.6,4.93,66.0,33.0,3.6,3.6,,,4.58333333333333,18.3333333333333,31.87,10.52,2.25,1.29,12.56,7.66,9.66,6.37,,,,,6.28
58,70.0x30.0x3.2,4.50,70.0,30.0,3.2,3.2,,,4.6875,21.875,32.04,8.24,2.37,1.20,11.98,6.51,9.15,5.49,,,,,5.73
59,45.0 x 45.0 x 3.6,4.42,45.0,45.0,3.6,3.6,,,6.25,12.5,15.57,15.57,1.66,1.66,8.55,8.55,6.92,6.92,,,,,5.63
60,40.0 x 40.0 x 4.0,4.20,40.0,40.0,4.0,4.0,,,5,10,11.07,11.07,1.44,1.44,7.01,7.01,5.54,5.54,,,,,5.35
61,60.0x40.0x2.9,4.12,60.0,40.0,2.9,2.9,,,6.89655172413793,20.6896551724138,24.74,13.11,2.17,1.58,10.25,7.73,8.25,6.56,,,,,5.25
62,70.0x30.0x2.9,4.12,70.0,30.0,2.9,2.9,,,5.17241379310345,24.1379310344828,29.82,7.72,2.38,1.21,11.07,6.04,8.52,5.14,,,,,5.25
63,49.5 x 49.5 x 2.9,4.07,49.5,49.5,2.9,2.9,,,8.53448275862069,17.0689655172414,18.37,18.37,1.88,1.88,8.93,8.93,7.42,7.42,,,,,5.19
64,66.0x33.0x2.9,4.07,66.0,33.0,2.9,2.9,,,5.68965517241379,22.7586206896552,27.33,9.12,2.29,1.33,10.59,6.49,8.28,5.53,,,,,5.19
65,45.0 x 45.0 x 3.2,3.99,45.0,45.0,3.2,3.2,,,7.03125,14.0625,14.41,14.41,1.68,1.68,7.83,7.83,6.40,6.40,,,,,5.09
66,38.0 x 38.0 x 4.0,3.95,38.0,38.0,4.0,4.0,,,4.75,9.5,9.26,9.26,1.36,1.36,6.22,6.22,4.87,4.87,,,,,5.03
67,40.0 x 40.0 x 3.6,3.85,40.0,40.0,3.6,3.6,,,5.55555555555556,11.1111111111111,10.45,10.45,1.46,1.46,6.53,6.53,5.22,5.22,,,,,4.91
68,45.0 x 45.0 x 2.9,3.66,45.0,45.0,2.9,2.9,,,7.75862068965517,15.5172413793103,13.45,13.45,1.70,1.70,7.25,7.25,5.98,5.98,,,,,4.67
69,38.0 x 38.0 x 3.6,3.63,38.0,38.0,3.6,3.6,,,5.27777777777778,10.5555555555556,8.76,8.76,1.38,1.38,5.80,5.80,4.61,4.61,,,,,4.62
70,35.0 x 35.0 x 4.0,3.57,35.0,35.0,4.0,4.0,,,4.375,8.75,6.93,6.93,1.23,1.23,5.11,5.11,3.96,3.96,,,,,4.55
71,40.0 x 40.0 x 3.2,3.49,40.0,40.0,3.2,3.2,,,6.25,12.5,9.72,9.72,1.48,1.48,6.01,6.01,4.86,4.86,,,,,4.45
72,45.0 x 45.0 x 2.6,3.32,45.0,45.0,2.6,2.6,,,8.65384615384615,17.3076923076923,12.47,12.47,1.71,1.71,6.64,6.64,5.52,5.52,,,,,4.24
73,38.0 x 38.0 x 3.2,3.29,38.0,38.0,3.2,3.2,,,5.9375,11.875,8.18,8.18,1.40,1.40,5.34,5.34,4.30,4.30,,,,,4.19
74,50.0x25.0x3.2,3.24,50.0,25.0,3.2,3.2,,,3.90625,15.625,11.63,3.80,1.68,3.96,6.14,3.73,4.65,3.04,,,,,4.13
75,32.0x32.0 x 4.0,3.19,32.0,32.0,4.0,4.0,,,4,8,5.02,5.02,1.15,1.15,4.11,4.11,3.14,3.14,,,,,4.07
76,38.0 x 38.0 x 2.9,3.03,38.0,38.0,2.9,2.9,,,6.55172413793104,13.1034482758621,7.68,7.68,1.41,1.41,4.97,4.97,4.04,4.04,,,,,3.86
77,35.0 x 35.0 x 3.2,2.99,35.0,35.0,3.2,3.2,,,5.46875,10.9375,6.18,6.18,1.27,1.27,4.42,4.42,3.53,3.53,,,,,3.81
78,50.0x25.0x2.9,2.98,50.0,25.0,2.9,2.9,,,4.31034482758621,17.2413793103448,10.93,3.60,1.70,0.97,5.72,3.48,4.37,2.88,,,,,3.80
79,30.0 x 30.0 x 4.0,2.94,30.0,30.0,4.0,4.0,,,3.75,7.5,3.97,3.97,1.03,1.03,3.50,3.50,2.64,2.64,,,,,3.75
80,40.0 x 40.0 x 2.6,2.92,40.0,40.0,2.6,2.6,,,7.69230769230769,15.3846153846154,8.45,8.45,1.51,1.51,5.12,5.12,4.22,4.22,,,,,3.72
81,38.0 x 38.0 x 2.6,2.75,38.0,38.0,2.6,2.6,,,7.30769230769231,14.6153846153846,7.14,7.14,1.43,1.43,4.57,4.57,3.76,3.76,,,,,3.51
82,32.0 x 32.0 x 3.2,2.69,32.0,32.0,3.2,3.2,,,5,10,4.54,4.54,1.15,1.15,3.59,3.59,2.84,2.84,,,,,3.42
83,35.0 x 35.0 x 2.6,2.51,35.0,35.0,2.6,2.6,,,6.73076923076923,13.4615384615385,5.43,5.43,1.30,1.30,3.81,3.81,3.10,3.10,,,,,3.20
84,30.0 x 30.0 x 3.2,2.49,30.0,30.0,3.2,3.2,,,4.6875,9.375,3.62,3.62,1.07,1.07,3.08,3.08,2.41,2.41,,,,,3.17
85,32.0 x 32.0 x 2.6,2.26,32.0,32.0,2.6,2.6,,,6.15384615384615,12.3076923076923,4.02,4.02,1.18,1.18,3.11,3.11,2.51,2.51,,,,,2.88
86,30.0 x 30.0 x 2.6,2.10,30.0,30.0,2.6,2.6,,,5.76923076923077,11.5384615384615,3.23,3.23,1.10,1.10,2.68,2.68,2.15,2.15,,,,,2.68
87,25.0 x 25.0 x 3.2,1.98,25.0,25.0,3.2,3.2,,,3.90625,7.8125,1.89,1.89,0.86,0.86,1.98,1.98,1.51,1.51,,,,,2.53
88,25.0 x 25.0 x 2.6,1.69,25.0,25.0,2.6,2.6,,,4.80769230769231,9.61538461538462,1.72,1.72,0.89,0.89,1.76,1.76,1.38,1.38,,,,,2.16
