NO,IDX,Designation,T,A,W,CXX,CYY,EXX,EYY,IXX,IYY,IUU,IVV,RXX,RYY,RUU,RVV,ZXX,ZYY,IXY,NAME
52,52,ISA 150758,8,17.42,13.7,5.23,1.53,9.77,5.97,407.2,70.2,432.8,44.5,4.83,2.01,4.98,1.6,41.7,11.8,95.5,ISA 150758
53,53,ISA 1507510,10,21.56,16.9,5.23,1.61,9.68,5.89,499.1,85.3,529.8,54.6,4.81,1.99,4.96,1.59,51.6,14.5,116.2,ISA 1507510
54,54,ISA 1507612,12,25.62,20.1,5.41,1.69,9.59,5.81,587,99.5,622.2,64.3,4.79,1.97,4.93,1.58,61.2,17.1,135.2,ISA 1507612
55,55,ISA 1501158,8,20.58,16.2,4.46,2.73,10.54,8.77,465.7,238.9,581.2,123.3,4.76,3.41,5.31,2.45,44.2,27.2,195.9,ISA 1501158
56,56,ISA 15011510,10,25.52,20,4.55,2.82,10.45,8.68,573.3,293.4,714.3,152.4,4.74,3.39,5.29,2.44,54.9,33.8,241,ISA 15011510
57,57,ISA 15011512,12,30.38,23.8,4.64,2.9,10.36,8.6,676.5,345.3,841.4,180.4,4.72,3.37,5.26,2.44,65.3,40.2,283.6,ISA 15011512
58,58,ISA 15011515,15,37.52,29.5,4.76,3.02,10.24,8.48,823.5,418.6,1020.9,221.2,4.69,3.34,5.22,2.43,80.4,49.4,342.8,ISA 15011515
59,59,ISA 20010010,10,29.03,22.8,6.96,2.01,13.04,7.99,1210,209.2,1286.7,132.5,6.46,2.68,6.66,2.14,92.8,26.2,284.8,ISA 20010010
60,60,ISA 20010012,12,34.59,27.2,7.05,2.1,12.95,7.9,1431.7,246.2,1521,156.8,6.43,2.67,6.63,2.13,110.6,31.1,335.3,ISA 20010012
61,61,ISA 20010015,15,42.78,33.6,7.18,2.22,12.82,7.78,1750.5,298.1,1856.7,191.9,6.4,2.64,6.59,2.12,136.5,38.3,405.4,ISA 20010015
62,62,ISA 20015010,10,34,26.7,5.99,3.51,14.01,11.49,1377.9,669.6,1696.6,350.8,6.37,4.44,7.06,3.21,98.3,58.3,564.1,ISA 20015010
63,63,ISA 20015012,12,40.56,31.8,6.08,3.6,13.92,11.4,1634.9,793.2,2010.8,417.2,6.35,4.42,7.04,3.21,117.4,69.6,669.1,ISA 20015012
64,64,ISA 20015015,15,50.25,39.4,6.2,3.72,13.8,11.28,2005.6,969.9,2461.9,513.6,6.32,4.39,7,3.2,145.4,86,818.5,ISA 20015015
65,65,ISA 20015018,18,59.76,46.9,6.33,3.84,13.67,11.16,2359.4,1136.9,2889.5,606.9,6.28,4.36,6.95,3.19,172.5,101.9,958.1,ISA 20015018
